ID_INDICADOR;DESC_INDICADOR;ID_META;STATUS;RBC;VARIAVEIS
Indicador 7.1.2;Percentagem da população com acesso primário a combustíveis e tecnologias limpos;Meta 7.1;Produzido;1;0
Indicador 8.3.1;Taxa de informalidade das pessoas de 15 anos ou mais de idade ocupadas na semana de referência, por sexo, setor de atividade do trabalho principal e existência de deficiência;Meta 8.3;Produzido;1;0
Indicador 8.3.1.2;Taxa de informalidade das pessoas de 15 anos ou mais de idade ocupadas na semana de referência, por atividade principal de trabalho;Meta 8.3;Produzido;1;0
Indicador 8.3.1.3;Taxa de informalidade das pessoas de 15 anos ou mais de idade ocupadas na semana de referência, por existência de deficiência;Meta 8.3;Produzido;1;0
Indicador 8.5.1;Rendimento médio por hora real das pessoas de 15 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, por sexo, grupo de idade, grupamento ocupacional do trabalho principal e existência de deficiência;Meta 8.5;Produzido;1;0
Indicador 8.5.1.2;Rendimento médio por hora real das pessoas de 15 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, por grupo de idade;Meta 8.5;Produzido;1;0
Indicador 8.5.1.3;Rendimento médio por hora real das pessoas de 15 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, por grupamento ocupacional no trabalho principal;Meta 8.5;Produzido;1;0
Indicador 8.5.1.4;Rendimento médio por hora real das pessoas de 15 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, por existência de deficiência;Meta 8.5;Produzido;1;0
Indicador 8.5.2;Taxa de desocupação, por sexo, grupo de idade e existência de deficiência;Meta 8.5;Produzido;1;0
Indicador 8.5.2.2;Taxa de desocupação, na semana de referência, das pessoas de 15 anos ou mais de idade, por sexo;Meta 8.5;Produzido;1;0
Indicador 8.5.2.3;Taxa de desocupação, na semana de referência, das pessoas de 15 anos ou mais de idade, por grupo de idade;Meta 8.5;Produzido;1;0
Indicador 8.6.1;Percentual de pessoas de 15 a 24 anos não ocupadas, não estudantes e que não estão em treinamento para um trabalho;Meta 8.6;Produzido;1;0
Indicador 9.2.1;Valor adicionado da indústria em proporção do PIB e per capita;Meta 9.2;Produzido;1;1
Indicador 9.2.2;Emprego na indústria em proporção do emprego total;Meta 9.2;Produzido;1;0
Indicador 9.b.1;Proporção do valor adicionado nas indústrias de média e alta intensidade tecnológica no valor adicionado total;Meta 9.b;Produzido;1;0
Indicador 11.3.2;Proporção de cidades com uma estrutura de participação direta da sociedade civil no planejamento e gestão urbana que opera de forma regular e democrática;Meta 11.3;Produzido;1;1
Indicador 11.5.1;Número de mortes, pessoas desaparecidas e pessoas diretamente afetadas atribuído a desastres por 100 mil habitantes;Meta 11.5;Produzido;1;0
Indicador 11.b.2;Proporção de governos locais que adotam e implementam estratégias locais de redução de risco de desastres em linha com as estratégias nacionais de redução de risco de desastres;Meta 11.b;Produzido;1;0
Indicador 13.1.1;Número de mortes, pessoas desaparecidas e pessoas diretamente afetadas atribuído a desastres por 100 mil habitantes;Meta 13.1;Produzido;1;0
Indicador 13.1.3;Proporção de governos locais que adotam e implementam estratégias locais de redução de risco de desastres em linha com as estratégias nacionais de redução de risco de desastres;Meta 13.1;Produzido;1;0
Indicador 13.2.2;Emissões de gases do efeito estufa diretos, por fonte de emissão de gases de efeito estufa;Meta 13.2;Produzido;1;0
Indicador 16.1.1;Número de vítimas de homicídios intencionais por 100 mil habitantes, por ano;Meta 16.1;Produzido;1;0
Indicador 16.1.1.2;Número de vítimas de homicídios intencionais por 100 mil habitantes, por grupo de idade;Meta 16.1;Produzido;1;0
Indicador 16.1.1.3;Número de vítimas de homicídios intencionais por 100 mil habitantes, por sexo e grupo de idade;Meta 16.1;Produzido;1;0
Indicador 16.1.1.4;Número de vítimas de homicídios intencionais por 100 mil habitantes, por sexo;Meta 16.1;Produzido;1;0
Indicador 16.1.3;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, por sexo e situação de domicílio;Meta 16.1;Produzido;1;1
Indicador 16.1.3.1;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, por grupo de idade e situação de domicílio;Meta 16.1;Produzido;1;1
Indicador 16.1.3.2;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, por nível de instrução e situação de domicílio;Meta 16.1;Produzido;1;1
Indicador 16.1.3.3;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, por cor ou raça e situação de domicílio;Meta 16.1;Produzido;1;1
Indicador 16.1.3.4;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, por rendimento mensal domiciliar per capita e situação de domicílio;Meta 16.1;Produzido;1;1
Indicador 16.9.1;Proporção de crianças com menos de 5 anos cujos nascimentos foram registrados por uma autoridade civil, por idade;Meta 16.9;Produzido;1;1
