ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_RACA;DESC_RACA
Indicador  5.4.1.2;2;10.5;12;Acre;9471;2019;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;12.0;12;Acre;9471;2019;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.8;12;Acre;9471;2022;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.8;12;Acre;9471;2022;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.8;12;Acre;9471;2022;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.5;12;Acre;9471;2022;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.0;12;Acre;9471;2022;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.5;12;Acre;9471;2022;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;8.9;12;Acre;9471;2022;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;8.3;12;Acre;9471;2022;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;9.0;12;Acre;9471;2022;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.6;13;Amazonas;9471;2016;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.0;13;Amazonas;9471;2016;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.7;13;Amazonas;9471;2016;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.3;13;Amazonas;9471;2016;4;Homens;95251;Total
Indicador  5.4.1.2;2;3.9;13;Amazonas;9471;2016;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.4;13;Amazonas;9471;2016;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;9.0;13;Amazonas;9471;2016;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;7.8;13;Amazonas;9471;2016;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;9.2;13;Amazonas;9471;2016;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.1;13;Amazonas;9471;2017;6794;Total;95251;Total
Indicador  5.4.1.2;2;5.8;13;Amazonas;9471;2017;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.1;13;Amazonas;9471;2017;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.1;13;Amazonas;9471;2017;4;Homens;95251;Total
Indicador  5.4.1.2;2;3.9;13;Amazonas;9471;2017;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.1;13;Amazonas;9471;2017;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;8.0;13;Amazonas;9471;2017;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;7.3;13;Amazonas;9471;2017;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;8.2;13;Amazonas;9471;2017;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.3;13;Amazonas;9471;2018;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.3;13;Amazonas;9471;2018;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.3;13;Amazonas;9471;2018;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.6;13;Amazonas;9471;2018;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.4;13;Amazonas;9471;2018;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.6;13;Amazonas;9471;2018;4;Homens;119525;Preta ou parda
