ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SEXO;DESC_SEXO;SUB_INDICADOR
Indicador  3.3.4;1020;32;1;Brasil;9613;2019;1142;10 a 14 anos;92957;Mulher;9613
Indicador  3.3.4;1020;213;1;Brasil;9613;2019;1143;15 a 19 anos;6794;Total;9613
Indicador  3.3.4;1020;71;1;Brasil;9613;2019;1143;15 a 19 anos;92956;Homem;9613
Indicador  3.3.4;1020;142;1;Brasil;9613;2019;1143;15 a 19 anos;92957;Mulher;9613
Indicador  3.3.4;1020;814;1;Brasil;9613;2019;1144;20 a 24 anos;6794;Total;9613
Indicador  3.3.4;1020;332;1;Brasil;9613;2019;1144;20 a 24 anos;92956;Homem;9613
Indicador  3.3.4;1020;481;1;Brasil;9613;2019;1144;20 a 24 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1329;1;Brasil;9613;2019;1145;25 a 29 anos;6794;Total;9613
Indicador  3.3.4;1020;634;1;Brasil;9613;2019;1145;25 a 29 anos;92956;Homem;9613
Indicador  3.3.4;1020;695;1;Brasil;9613;2019;1145;25 a 29 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1706;1;Brasil;9613;2019;1146;30 a 34 anos;6794;Total;9613
Indicador  3.3.4;1020;936;1;Brasil;9613;2019;1146;30 a 34 anos;92956;Homem;9613
Indicador  3.3.4;1020;769;1;Brasil;9613;2019;1146;30 a 34 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1943;1;Brasil;9613;2019;1147;35 a 39 anos;6794;Total;9613
Indicador  3.3.4;1020;1134;1;Brasil;9613;2019;1147;35 a 39 anos;92956;Homem;9613
Indicador  3.3.4;1020;809;1;Brasil;9613;2019;1147;35 a 39 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1708;1;Brasil;9613;2019;1148;40 a 44 anos;6794;Total;9613
Indicador  3.3.4;1020;1059;1;Brasil;9613;2019;1148;40 a 44 anos;92956;Homem;9613
Indicador  3.3.4;1020;648;1;Brasil;9613;2019;1148;40 a 44 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1596;1;Brasil;9613;2019;1149;45 a 49 anos;6794;Total;9613
Indicador  3.3.4;1020;968;1;Brasil;9613;2019;1149;45 a 49 anos;92956;Homem;9613
Indicador  3.3.4;1020;628;1;Brasil;9613;2019;1149;45 a 49 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1507;1;Brasil;9613;2019;1150;50 a 54 anos;6794;Total;9613
Indicador  3.3.4;1020;886;1;Brasil;9613;2019;1150;50 a 54 anos;92956;Homem;9613
Indicador  3.3.4;1020;621;1;Brasil;9613;2019;1150;50 a 54 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1213;1;Brasil;9613;2019;1151;55 a 59 anos;6794;Total;9613
