ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_RACA;DESC_RACA;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.3;1572;165.875;15;Pará;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;15;Pará;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;15;Pará;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;118.076;15;Pará;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;15;Pará;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;15;Pará;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;839.888;15;Pará;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;15;Pará;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;15;Pará;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;105.099;16;Amapá;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;10.367;16;Amapá;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;18.651;16;Amapá;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;74.367;16;Amapá;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;16;Amapá;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;186.029;17;Tocantins;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;41.001;17;Tocantins;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;30.321;17;Tocantins;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;114.081;17;Tocantins;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;17;Tocantins;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;897.076;21;Maranhão;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;170.460;21;Maranhão;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;154.108;21;Maranhão;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;553.062;21;Maranhão;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;21;Maranhão;11392;2019;2779;Parda;1;Urbana;11392
