ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_INF_ESC;DESC_INF_ESC;SUB_INDICADOR
Indicador  4.a.1;2;25.9;11;Rondônia;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;425.0;11;Rondônia;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;67.4;11;Rondônia;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;98.6;11;Rondônia;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;97.4;11;Rondônia;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;11;Rondônia;11085;2022;41115;Total;11085
Indicador  4.a.1;2;96.4;11;Rondônia;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;29.9;11;Rondônia;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;430.0;11;Rondônia;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;69.4;11;Rondônia;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;98.4;11;Rondônia;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;97.9;11;Rondônia;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;12;Acre;11085;2018;41115;Total;11085
Indicador  4.a.1;2;57.0;12;Acre;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;12;Acre;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;242.0;12;Acre;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;9.9;12;Acre;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;62.7;12;Acre;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;56.1;12;Acre;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;12;Acre;11085;2019;41115;Total;11085
Indicador  4.a.1;2;56.1;12;Acre;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;2.9;12;Acre;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;180.0;12;Acre;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;27.5;12;Acre;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;67.8;12;Acre;11085;2019;41120;Abastecimento de água;11085
Indicador  4.a.1;2;63.5;12;Acre;11085;2019;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;12;Acre;11085;2020;41115;Total;11085
Indicador  4.a.1;2;57.3;12;Acre;11085;2020;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;3.7;12;Acre;11085;2020;41117;Acesso à internet;11085
Indicador  4.a.1;2;215.0;12;Acre;11085;2020;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;29.1;12;Acre;11085;2020;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;68.2;12;Acre;11085;2020;41120;Abastecimento de água;11085
Indicador  4.a.1;2;64.0;12;Acre;11085;2020;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;12;Acre;11085;2021;41115;Total;11085
