ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_FONT_EMIS_GAS_EFEITO_EST;DESC_FONT_EMIS_GAS_EFEITO_EST
Indicador  13.2.2;1758;281510;1;Brasil;12341;1999;57202;Energia
Indicador  13.2.2;1758;1953938;1;Brasil;12341;2000;0;Total
Indicador  13.2.2;1758;78418;1;Brasil;12341;2000;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;370335;1;Brasil;12341;2000;57204;Agropecuária
Indicador  13.2.2;1758;1174452;1;Brasil;12341;2000;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;42578;1;Brasil;12341;2000;57206;Resíduos
Indicador  13.2.2;1758;288155;1;Brasil;12341;2000;57202;Energia
Indicador  13.2.2;1758;1920289;1;Brasil;12341;2001;0;Total
Indicador  13.2.2;1758;74913;1;Brasil;12341;2001;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;384276;1;Brasil;12341;2001;57204;Agropecuária
Indicador  13.2.2;1758;1119687;1;Brasil;12341;2001;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;45129;1;Brasil;12341;2001;57206;Resíduos
Indicador  13.2.2;1758;296284;1;Brasil;12341;2001;57202;Energia
Indicador  13.2.2;1758;2145126;1;Brasil;12341;2002;0;Total
Indicador  13.2.2;1758;79568;1;Brasil;12341;2002;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;395420;1;Brasil;12341;2002;57204;Agropecuária
Indicador  13.2.2;1758;1328443;1;Brasil;12341;2002;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;46731;1;Brasil;12341;2002;57206;Resíduos
Indicador  13.2.2;1758;294964;1;Brasil;12341;2002;57202;Energia
Indicador  13.2.2;1758;3250045;1;Brasil;12341;2003;0;Total
Indicador  13.2.2;1758;80372;1;Brasil;12341;2003;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;422506;1;Brasil;12341;2003;57204;Agropecuária
