ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_SEG_ALI_DOM;DESC_SIT_SEG_ALI_DOM;SUB_INDICADOR
Indicador  2.1.2;2;35.2;1;Brasil;9592;2009;109099;Com insegurança alimentar;9592
Indicador  2.1.2;2;19.5;1;Brasil;9592;2009;109100;Com insegurança alimentar leve;9592
Indicador  2.1.2;2;8.5;1;Brasil;9592;2009;109101;Com insegurança alimentar moderada;9592
Indicador  2.1.2;2;7.1;1;Brasil;9592;2009;109102;Com insegurança alimentar grave;9592
Indicador  2.1.2;2;64.7;1;Brasil;9592;2013;109098;Com segurança alimentar;9592
Indicador  2.1.2;2;35.3;1;Brasil;9592;2013;109099;Com insegurança alimentar;9592
Indicador  2.1.2;2;21.4;1;Brasil;9592;2013;109100;Com insegurança alimentar leve;9592
Indicador  2.1.2;2;8.4;1;Brasil;9592;2013;109101;Com insegurança alimentar moderada;9592
Indicador  2.1.2;2;5.5;1;Brasil;9592;2013;109102;Com insegurança alimentar grave;9592
Indicador  2.1.2;2;53.6;1;Brasil;9592;2018;109098;Com segurança alimentar;9592
Indicador  2.1.2;2;46.4;1;Brasil;9592;2018;109099;Com insegurança alimentar;9592
Indicador  2.1.2;2;27.2;1;Brasil;9592;2018;109100;Com insegurança alimentar leve;9592
Indicador  2.1.2;2;12.2;1;Brasil;9592;2018;109101;Com insegurança alimentar moderada;9592
Indicador  2.1.2;2;7.1;1;Brasil;9592;2018;109102;Com insegurança alimentar grave;9592
Indicador  2.1.2;2;65.5;1;Brasil;9592;2023;109098;Com segurança alimentar;9592
Indicador  2.1.2;2;34.5;1;Brasil;9592;2023;109099;Com insegurança alimentar;9592
Indicador  2.1.2;2;21.8;1;Brasil;9592;2023;109100;Com insegurança alimentar leve;9592
Indicador  2.1.2;2;7.2;1;Brasil;9592;2023;109101;Com insegurança alimentar moderada;9592
Indicador  2.1.2;2;5.5;1;Brasil;9592;2023;109102;Com insegurança alimentar grave;9592
Indicador  2.1.2;2;60.1;1;Brasil;2133;2004;109098;Com segurança alimentar;2133
Indicador  2.1.2;2;39.8;1;Brasil;2133;2004;109099;Com insegurança alimentar;2133
Indicador  2.1.2;2;20.3;1;Brasil;2133;2004;109100;Com insegurança alimentar leve;2133
Indicador  2.1.2;2;11.3;1;Brasil;2133;2004;109101;Com insegurança alimentar moderada;2133
Indicador  2.1.2;2;8.2;1;Brasil;2133;2004;109102;Com insegurança alimentar grave;2133
Indicador  2.1.2;2;65.9;1;Brasil;2133;2009;109098;Com segurança alimentar;2133
Indicador  2.1.2;2;34.1;1;Brasil;2133;2009;109099;Com insegurança alimentar;2133
Indicador  2.1.2;2;20.9;1;Brasil;2133;2009;109100;Com insegurança alimentar leve;2133
Indicador  2.1.2;2;7.4;1;Brasil;2133;2009;109101;Com insegurança alimentar moderada;2133
