ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_REND_MENSAL_DOM_PER_CAP;DESC_REND_MENSAL_DOM_PER_CAP;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.4;1572;2.883;11;Rondônia;11392;2019;32857;Mais de 3 a 5 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;11;Rondônia;11392;2019;32857;Mais de 3 a 5 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;11;Rondônia;11392;2019;32857;Mais de 3 a 5 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;5.879;11;Rondônia;11392;2019;32858;Mais de 5 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;11;Rondônia;11392;2019;32858;Mais de 5 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;11;Rondônia;11392;2019;32858;Mais de 5 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;73.650;12;Acre;11392;2019;32851;Total;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32851;Total;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32851;Total;2;Rural;11392
Indicador  16.1.3.4;1572;16.494;12;Acre;11392;2019;32852;Sem rendimento até 1/4 do salário mínimo;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32852;Sem rendimento até 1/4 do salário mínimo;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32852;Sem rendimento até 1/4 do salário mínimo;2;Rural;11392
Indicador  16.1.3.4;1572;14.701;12;Acre;11392;2019;32853;Mais de 1/4 a 1/2 do salário mínimo;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32853;Mais de 1/4 a 1/2 do salário mínimo;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32853;Mais de 1/4 a 1/2 do salário mínimo;2;Rural;11392
Indicador  16.1.3.4;1572;18.330;12;Acre;11392;2019;32854;Mais de 1/2 a 1 salário mínimo;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32854;Mais de 1/2 a 1 salário mínimo;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32854;Mais de 1/2 a 1 salário mínimo;2;Rural;11392
Indicador  16.1.3.4;1572;13.157;12;Acre;11392;2019;32855;Mais de 1 a 2 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32855;Mais de 1 a 2 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32855;Mais de 1 a 2 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;5.186;12;Acre;11392;2019;32856;Mais de 2 a 3 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32856;Mais de 2 a 3 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32856;Mais de 2 a 3 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;4.069;12;Acre;11392;2019;32857;Mais de 3 a 5 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32857;Mais de 3 a 5 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32857;Mais de 3 a 5 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;1.713;12;Acre;11392;2019;32858;Mais de 5 salários mínimos;6795;Total;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32858;Mais de 5 salários mínimos;1;Urbana;11392
Indicador  16.1.3.4;1572;-;12;Acre;11392;2019;32858;Mais de 5 salários mínimos;2;Rural;11392
Indicador  16.1.3.4;1572;488.613;13;Amazonas;11392;2019;32851;Total;6795;Total;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32851;Total;1;Urbana;11392
Indicador  16.1.3.4;1572;-;13;Amazonas;11392;2019;32851;Total;2;Rural;11392
Indicador  16.1.3.4;1572;86.494;13;Amazonas;11392;2019;32852;Sem rendimento até 1/4 do salário mínimo;6795;Total;11392
