ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE
Indicador  8.5.1.2;1769;16.3;1;Brasil;8828;2012;95253;Total
Indicador  8.5.1.2;1769;6.4;1;Brasil;8828;2012;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.7;1;Brasil;8828;2012;100052;18 a 24 anos
Indicador  8.5.1.2;1769;13.9;1;Brasil;8828;2012;1145;25 a 29 anos
Indicador  8.5.1.2;1769;16.8;1;Brasil;8828;2012;3299;30 a 39 anos
Indicador  8.5.1.2;1769;18.7;1;Brasil;8828;2012;3300;40 a 49 anos
Indicador  8.5.1.2;1769;20.9;1;Brasil;8828;2012;3301;50 a 59 anos
Indicador  8.5.1.2;1769;22.3;1;Brasil;8828;2012;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.0;1;Brasil;8828;2013;95253;Total
Indicador  8.5.1.2;1769;6.7;1;Brasil;8828;2013;2792;15 a 17 anos
Indicador  8.5.1.2;1769;10.2;1;Brasil;8828;2013;100052;18 a 24 anos
Indicador  8.5.1.2;1769;14.2;1;Brasil;8828;2013;1145;25 a 29 anos
Indicador  8.5.1.2;1769;17.8;1;Brasil;8828;2013;3299;30 a 39 anos
Indicador  8.5.1.2;1769;19.7;1;Brasil;8828;2013;3300;40 a 49 anos
Indicador  8.5.1.2;1769;21.3;1;Brasil;8828;2013;3301;50 a 59 anos
Indicador  8.5.1.2;1769;21.7;1;Brasil;8828;2013;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.7;1;Brasil;8828;2014;95253;Total
Indicador  8.5.1.2;1769;7.0;1;Brasil;8828;2014;2792;15 a 17 anos
Indicador  8.5.1.2;1769;10.2;1;Brasil;8828;2014;100052;18 a 24 anos
Indicador  8.5.1.2;1769;14.5;1;Brasil;8828;2014;1145;25 a 29 anos
Indicador  8.5.1.2;1769;18.1;1;Brasil;8828;2014;3299;30 a 39 anos
Indicador  8.5.1.2;1769;20.1;1;Brasil;8828;2014;3300;40 a 49 anos
Indicador  8.5.1.2;1769;22.4;1;Brasil;8828;2014;3301;50 a 59 anos
Indicador  8.5.1.2;1769;24.7;1;Brasil;8828;2014;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.2;1;Brasil;8828;2015;95253;Total
Indicador  8.5.1.2;1769;6.7;1;Brasil;8828;2015;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.9;1;Brasil;8828;2015;100052;18 a 24 anos
Indicador  8.5.1.2;1769;14.3;1;Brasil;8828;2015;1145;25 a 29 anos
Indicador  8.5.1.2;1769;17.7;1;Brasil;8828;2015;3299;30 a 39 anos
Indicador  8.5.1.2;1769;19.5;1;Brasil;8828;2015;3300;40 a 49 anos
Indicador  8.5.1.2;1769;21.3;1;Brasil;8828;2015;3301;50 a 59 anos
Indicador  8.5.1.2;1769;22.2;1;Brasil;8828;2015;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.4;1;Brasil;8828;2016;95253;Total
Indicador  8.5.1.2;1769;6.6;1;Brasil;8828;2016;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.7;1;Brasil;8828;2016;100052;18 a 24 anos
Indicador  8.5.1.2;1769;14.0;1;Brasil;8828;2016;1145;25 a 29 anos
Indicador  8.5.1.2;1769;17.8;1;Brasil;8828;2016;3299;30 a 39 anos
Indicador  8.5.1.2;1769;19.5;1;Brasil;8828;2016;3300;40 a 49 anos
Indicador  8.5.1.2;1769;21.3;1;Brasil;8828;2016;3301;50 a 59 anos
Indicador  8.5.1.2;1769;23.6;1;Brasil;8828;2016;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.3;1;Brasil;8828;2017;95253;Total
Indicador  8.5.1.2;1769;6.5;1;Brasil;8828;2017;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.7;1;Brasil;8828;2017;100052;18 a 24 anos
Indicador  8.5.1.2;1769;14.2;1;Brasil;8828;2017;1145;25 a 29 anos
Indicador  8.5.1.2;1769;18.0;1;Brasil;8828;2017;3299;30 a 39 anos
Indicador  8.5.1.2;1769;19.3;1;Brasil;8828;2017;3300;40 a 49 anos
Indicador  8.5.1.2;1769;20.8;1;Brasil;8828;2017;3301;50 a 59 anos
Indicador  8.5.1.2;1769;23.6;1;Brasil;8828;2017;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.7;1;Brasil;8828;2018;95253;Total
Indicador  8.5.1.2;1769;6.7;1;Brasil;8828;2018;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.6;1;Brasil;8828;2018;100052;18 a 24 anos
Indicador  8.5.1.2;1769;14.0;1;Brasil;8828;2018;1145;25 a 29 anos
Indicador  8.5.1.2;1769;18.4;1;Brasil;8828;2018;3299;30 a 39 anos
Indicador  8.5.1.2;1769;20.0;1;Brasil;8828;2018;3300;40 a 49 anos
Indicador  8.5.1.2;1769;20.9;1;Brasil;8828;2018;3301;50 a 59 anos
Indicador  8.5.1.2;1769;23.6;1;Brasil;8828;2018;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.6;1;Brasil;8828;2019;95253;Total
Indicador  8.5.1.2;1769;6.5;1;Brasil;8828;2019;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.6;1;Brasil;8828;2019;100052;18 a 24 anos
Indicador  8.5.1.2;1769;13.4;1;Brasil;8828;2019;1145;25 a 29 anos
Indicador  8.5.1.2;1769;18.6;1;Brasil;8828;2019;3299;30 a 39 anos
Indicador  8.5.1.2;1769;19.8;1;Brasil;8828;2019;3300;40 a 49 anos
Indicador  8.5.1.2;1769;20.8;1;Brasil;8828;2019;3301;50 a 59 anos
Indicador  8.5.1.2;1769;23.0;1;Brasil;8828;2019;3302;60 anos ou mais
Indicador  8.5.1.2;1769;18.2;1;Brasil;8828;2020;95253;Total
Indicador  8.5.1.2;1769;6.3;1;Brasil;8828;2020;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.6;1;Brasil;8828;2020;100052;18 a 24 anos
Indicador  8.5.1.2;1769;13.6;1;Brasil;8828;2020;1145;25 a 29 anos
Indicador  8.5.1.2;1769;19.1;1;Brasil;8828;2020;3299;30 a 39 anos
Indicador  8.5.1.2;1769;20.6;1;Brasil;8828;2020;3300;40 a 49 anos
Indicador  8.5.1.2;1769;21.0;1;Brasil;8828;2020;3301;50 a 59 anos
Indicador  8.5.1.2;1769;24.5;1;Brasil;8828;2020;3302;60 anos ou mais
Indicador  8.5.1.2;1769;17.1;1;Brasil;8828;2021;95253;Total
Indicador  8.5.1.2;1769;6.1;1;Brasil;8828;2021;2792;15 a 17 anos
Indicador  8.5.1.2;1769;9.7;1;Brasil;8828;2021;100052;18 a 24 anos
Indicador  8.5.1.2;1769;12.8;1;Brasil;8828;2021;1145;25 a 29 anos
