ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3;1572;81.230;17;Tocantins;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;17;Tocantins;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;17;Tocantins;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;104.799;17;Tocantins;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;17;Tocantins;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;17;Tocantins;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;897.076;21;Maranhão;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;21;Maranhão;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;21;Maranhão;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;407.814;21;Maranhão;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;21;Maranhão;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;21;Maranhão;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;489.262;21;Maranhão;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;21;Maranhão;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;21;Maranhão;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;438.814;22;Piauí;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;22;Piauí;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;22;Piauí;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;181.277;22;Piauí;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;22;Piauí;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;22;Piauí;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;257.536;22;Piauí;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;22;Piauí;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;22;Piauí;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;1243.673;23;Ceará;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;23;Ceará;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;23;Ceará;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;530.592;23;Ceará;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;23;Ceará;11392;2019;110095;Masculino;1;Urbana;11392
