ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ATV_TRAB;DESC_ATV_TRAB
Indicador  8.3.1.2;2;39.0;1;Brasil;8883;2016;99444;Total
Indicador  8.3.1.2;2;80.6;1;Brasil;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;34.5;1;Brasil;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;40.5;1;Brasil;8883;2017;99444;Total
Indicador  8.3.1.2;2;79.8;1;Brasil;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;36.4;1;Brasil;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;40.8;1;Brasil;8883;2018;99444;Total
Indicador  8.3.1.2;2;78.3;1;Brasil;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;37.0;1;Brasil;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;40.8;1;Brasil;8883;2019;99444;Total
Indicador  8.3.1.2;2;77.6;1;Brasil;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;37.1;1;Brasil;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;37.6;1;Brasil;8883;2020;99444;Total
Indicador  8.3.1.2;2;75.6;1;Brasil;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;33.7;1;Brasil;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;39.4;1;Brasil;8883;2021;99444;Total
Indicador  8.3.1.2;2;76.7;1;Brasil;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;35.4;1;Brasil;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;39.4;1;Brasil;8883;2022;99444;Total
Indicador  8.3.1.2;2;77.7;1;Brasil;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;35.7;1;Brasil;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;39.1;1;Brasil;8883;2023;99444;Total
Indicador  8.3.1.2;2;76.0;1;Brasil;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;35.9;1;Brasil;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;38.9;1;Brasil;8883;2024;99444;Total
Indicador  8.3.1.2;2;75.9;1;Brasil;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;35.8;1;Brasil;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;49.8;11;Rondônia;8883;2016;99444;Total
Indicador  8.3.1.2;2;90.5;11;Rondônia;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;38.2;11;Rondônia;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;49.2;11;Rondônia;8883;2017;99444;Total
Indicador  8.3.1.2;2;88.9;11;Rondônia;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;38.3;11;Rondônia;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;50.6;11;Rondônia;8883;2018;99444;Total
Indicador  8.3.1.2;2;90.2;11;Rondônia;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;39.7;11;Rondônia;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;49.6;11;Rondônia;8883;2019;99444;Total
Indicador  8.3.1.2;2;86.1;11;Rondônia;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;39.9;11;Rondônia;8883;2019;99161;Não-agrícola
