ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.4.1;1755;15.12;1;Brasil;11754;2018;6794;Total;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.17;1;Brasil;11754;2018;6794;Total;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.30;1;Brasil;11754;2018;6794;Total;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.52;1;Brasil;11754;2018;6794;Total;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;0.91;1;Brasil;11754;2018;6794;Total;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.55;1;Brasil;11754;2018;6794;Total;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;2.49;1;Brasil;11754;2018;6794;Total;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;4.05;1;Brasil;11754;2018;6794;Total;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;6.08;1;Brasil;11754;2018;6794;Total;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;18.01;1;Brasil;11754;2018;4;Homens;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.17;1;Brasil;11754;2018;4;Homens;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.30;1;Brasil;11754;2018;4;Homens;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.54;1;Brasil;11754;2018;4;Homens;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;1.00;1;Brasil;11754;2018;4;Homens;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.82;1;Brasil;11754;2018;4;Homens;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;3.04;1;Brasil;11754;2018;4;Homens;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;4.99;1;Brasil;11754;2018;4;Homens;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;7.50;1;Brasil;11754;2018;4;Homens;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;12.52;1;Brasil;11754;2018;5;Mulheres;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.16;1;Brasil;11754;2018;5;Mulheres;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.30;1;Brasil;11754;2018;5;Mulheres;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.50;1;Brasil;11754;2018;5;Mulheres;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;0.82;1;Brasil;11754;2018;5;Mulheres;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.30;1;Brasil;11754;2018;5;Mulheres;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;2.00;1;Brasil;11754;2018;5;Mulheres;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;3.22;1;Brasil;11754;2018;5;Mulheres;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;4.86;1;Brasil;11754;2018;5;Mulheres;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;14.96;1;Brasil;11754;2019;6794;Total;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.17;1;Brasil;11754;2019;6794;Total;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.29;1;Brasil;11754;2019;6794;Total;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.52;1;Brasil;11754;2019;6794;Total;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;0.89;1;Brasil;11754;2019;6794;Total;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.52;1;Brasil;11754;2019;6794;Total;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;2.47;1;Brasil;11754;2019;6794;Total;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;3.99;1;Brasil;11754;2019;6794;Total;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;6.04;1;Brasil;11754;2019;6794;Total;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;17.77;1;Brasil;11754;2019;4;Homens;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.17;1;Brasil;11754;2019;4;Homens;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.30;1;Brasil;11754;2019;4;Homens;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.54;1;Brasil;11754;2019;4;Homens;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;0.97;1;Brasil;11754;2019;4;Homens;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.78;1;Brasil;11754;2019;4;Homens;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;3.01;1;Brasil;11754;2019;4;Homens;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;4.88;1;Brasil;11754;2019;4;Homens;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;7.43;1;Brasil;11754;2019;4;Homens;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;12.42;1;Brasil;11754;2019;5;Mulheres;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.17;1;Brasil;11754;2019;5;Mulheres;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.29;1;Brasil;11754;2019;5;Mulheres;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.50;1;Brasil;11754;2019;5;Mulheres;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;0.81;1;Brasil;11754;2019;5;Mulheres;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.28;1;Brasil;11754;2019;5;Mulheres;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;1.99;1;Brasil;11754;2019;5;Mulheres;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;3.19;1;Brasil;11754;2019;5;Mulheres;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;4.84;1;Brasil;11754;2019;5;Mulheres;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;14.49;1;Brasil;11754;2020;6794;Total;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.18;1;Brasil;11754;2020;6794;Total;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.29;1;Brasil;11754;2020;6794;Total;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.52;1;Brasil;11754;2020;6794;Total;1148;40 a 44 anos;11754
Indicador  3.4.1;1755;0.88;1;Brasil;11754;2020;6794;Total;1149;45 a 49 anos;11754
Indicador  3.4.1;1755;1.49;1;Brasil;11754;2020;6794;Total;1150;50 a 54 anos;11754
Indicador  3.4.1;1755;2.39;1;Brasil;11754;2020;6794;Total;1151;55 a 59 anos;11754
Indicador  3.4.1;1755;3.83;1;Brasil;11754;2020;6794;Total;1152;60 a 64 anos;11754
Indicador  3.4.1;1755;5.79;1;Brasil;11754;2020;6794;Total;1153;65 a 69 anos;11754
Indicador  3.4.1;1755;17.18;1;Brasil;11754;2020;4;Homens;56742;30 a 69 anos;11754
Indicador  3.4.1;1755;0.18;1;Brasil;11754;2020;4;Homens;1146;30 a 34 anos;11754
Indicador  3.4.1;1755;0.30;1;Brasil;11754;2020;4;Homens;1147;35 a 39 anos;11754
Indicador  3.4.1;1755;0.52;1;Brasil;11754;2020;4;Homens;1148;40 a 44 anos;11754
