ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE
Indicador  8.5.2.3;2;6.4;1;Brasil;10004;2019;3301;50 a 59 anos
Indicador  8.5.2.3;2;4.3;1;Brasil;10004;2019;3302;60 anos ou mais
Indicador  8.5.2.3;2;13.7;1;Brasil;10004;2020;95253;Total
Indicador  8.5.2.3;2;43.1;1;Brasil;10004;2020;2792;15 a 17 anos
Indicador  8.5.2.3;2;28.9;1;Brasil;10004;2020;100052;18 a 24 anos
Indicador  8.5.2.3;2;16.0;1;Brasil;10004;2020;1145;25 a 29 anos
Indicador  8.5.2.3;2;10.9;1;Brasil;10004;2020;3299;30 a 39 anos
Indicador  8.5.2.3;2;9.4;1;Brasil;10004;2020;3300;40 a 49 anos
Indicador  8.5.2.3;2;8.4;1;Brasil;10004;2020;3301;50 a 59 anos
Indicador  8.5.2.3;2;5.2;1;Brasil;10004;2020;3302;60 anos ou mais
Indicador  8.5.2.3;2;14.0;1;Brasil;10004;2021;95253;Total
Indicador  8.5.2.3;2;44.6;1;Brasil;10004;2021;2792;15 a 17 anos
Indicador  8.5.2.3;2;28.1;1;Brasil;10004;2021;100052;18 a 24 anos
Indicador  8.5.2.3;2;16.2;1;Brasil;10004;2021;1145;25 a 29 anos
Indicador  8.5.2.3;2;11.6;1;Brasil;10004;2021;3299;30 a 39 anos
Indicador  8.5.2.3;2;9.6;1;Brasil;10004;2021;3300;40 a 49 anos
Indicador  8.5.2.3;2;8.7;1;Brasil;10004;2021;3301;50 a 59 anos
Indicador  8.5.2.3;2;5.5;1;Brasil;10004;2021;3302;60 anos ou mais
Indicador  8.5.2.3;2;9.5;1;Brasil;10004;2022;95253;Total
Indicador  8.5.2.3;2;34.7;1;Brasil;10004;2022;2792;15 a 17 anos
Indicador  8.5.2.3;2;20.3;1;Brasil;10004;2022;100052;18 a 24 anos
Indicador  8.5.2.3;2;10.7;1;Brasil;10004;2022;1145;25 a 29 anos
Indicador  8.5.2.3;2;7.5;1;Brasil;10004;2022;3299;30 a 39 anos
Indicador  8.5.2.3;2;6.4;1;Brasil;10004;2022;3300;40 a 49 anos
Indicador  8.5.2.3;2;5.6;1;Brasil;10004;2022;3301;50 a 59 anos
Indicador  8.5.2.3;2;4.1;1;Brasil;10004;2022;3302;60 anos ou mais
Indicador  8.5.2.3;2;7.7;1;Brasil;10004;2023;95253;Total
Indicador  8.5.2.3;2;30.0;1;Brasil;10004;2023;2792;15 a 17 anos
