ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;SUB_INDICADOR
Indicador  4.2.2;1572;2702;1;Brasil;4775;2016;6794;Total;4775
Indicador  4.2.2;1572;1377;1;Brasil;4775;2016;4;Homens;4775
Indicador  4.2.2;1572;1325;1;Brasil;4775;2016;5;Mulheres;4775
Indicador  4.2.2;1572;2751;1;Brasil;4775;2017;6794;Total;4775
Indicador  4.2.2;1572;1387;1;Brasil;4775;2017;4;Homens;4775
Indicador  4.2.2;1572;1365;1;Brasil;4775;2017;5;Mulheres;4775
Indicador  4.2.2;1572;2769;1;Brasil;4775;2018;6794;Total;4775
Indicador  4.2.2;1572;1399;1;Brasil;4775;2018;4;Homens;4775
Indicador  4.2.2;1572;1370;1;Brasil;4775;2018;5;Mulheres;4775
Indicador  4.2.2;1572;2744;1;Brasil;4775;2019;6794;Total;4775
Indicador  4.2.2;1572;1405;1;Brasil;4775;2019;4;Homens;4775
Indicador  4.2.2;1572;1339;1;Brasil;4775;2019;5;Mulheres;4775
Indicador  4.2.2;1572;2678;1;Brasil;4775;2022;6794;Total;4775
Indicador  4.2.2;1572;1344;1;Brasil;4775;2022;4;Homens;4775
Indicador  4.2.2;1572;1335;1;Brasil;4775;2022;5;Mulheres;4775
Indicador  4.2.2;1572;2863;1;Brasil;4775;2023;6794;Total;4775
Indicador  4.2.2;1572;1460;1;Brasil;4775;2023;4;Homens;4775
Indicador  4.2.2;1572;1403;1;Brasil;4775;2023;5;Mulheres;4775
Indicador  4.2.2;1572;28;11;Rondônia;4775;2016;6794;Total;4775
Indicador  4.2.2;1572;17;11;Rondônia;4775;2016;4;Homens;4775
Indicador  4.2.2;1572;11;11;Rondônia;4775;2016;5;Mulheres;4775
Indicador  4.2.2;1572;30;11;Rondônia;4775;2017;6794;Total;4775
Indicador  4.2.2;1572;14;11;Rondônia;4775;2017;4;Homens;4775
Indicador  4.2.2;1572;16;11;Rondônia;4775;2017;5;Mulheres;4775
Indicador  4.2.2;1572;22;11;Rondônia;4775;2018;6794;Total;4775
Indicador  4.2.2;1572;11;11;Rondônia;4775;2018;4;Homens;4775
Indicador  4.2.2;1572;11;11;Rondônia;4775;2018;5;Mulheres;4775
Indicador  4.2.2;1572;32;11;Rondônia;4775;2019;6794;Total;4775
Indicador  4.2.2;1572;17;11;Rondônia;4775;2019;4;Homens;4775
Indicador  4.2.2;1572;15;11;Rondônia;4775;2019;5;Mulheres;4775
Indicador  4.2.2;1572;18;11;Rondônia;4775;2022;6794;Total;4775
Indicador  4.2.2;1572;8;11;Rondônia;4775;2022;4;Homens;4775
Indicador  4.2.2;1572;10;11;Rondônia;4775;2022;5;Mulheres;4775
Indicador  4.2.2;1572;23;11;Rondônia;4775;2023;6794;Total;4775
Indicador  4.2.2;1572;12;11;Rondônia;4775;2023;4;Homens;4775
Indicador  4.2.2;1572;11;11;Rondônia;4775;2023;5;Mulheres;4775
Indicador  4.2.2;1572;12;12;Acre;4775;2016;6794;Total;4775
Indicador  4.2.2;1572;7;12;Acre;4775;2016;4;Homens;4775
