ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.6.1;1736;33.6;1;Brasil;9734;2020;4;Homens;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;32.5;1;Brasil;9734;2020;4;Homens;1149;45 a 49 anos;9734
Indicador  3.6.1;1736;35.4;1;Brasil;9734;2020;4;Homens;1150;50 a 54 anos;9734
Indicador  3.6.1;1736;33.7;1;Brasil;9734;2020;4;Homens;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;31.4;1;Brasil;9734;2020;4;Homens;3302;60 anos ou mais;9734
Indicador  3.6.1;1736;4.8;1;Brasil;9734;2020;5;Mulheres;95253;Total;9734
Indicador  3.6.1;1736;1.8;1;Brasil;9734;2020;5;Mulheres;1140;0 a 4 anos;9734
Indicador  3.6.1;1736;1.3;1;Brasil;9734;2020;5;Mulheres;1141;5 a 9 anos;9734
Indicador  3.6.1;1736;1.8;1;Brasil;9734;2020;5;Mulheres;1142;10 a 14 anos;9734
Indicador  3.6.1;1736;5.1;1;Brasil;9734;2020;5;Mulheres;1143;15 a 19 anos;9734
Indicador  3.6.1;1736;6.8;1;Brasil;9734;2020;5;Mulheres;1144;20 a 24 anos;9734
Indicador  3.6.1;1736;5.7;1;Brasil;9734;2020;5;Mulheres;1145;25 a 29 anos;9734
Indicador  3.6.1;1736;5.2;1;Brasil;9734;2020;5;Mulheres;1146;30 a 34 anos;9734
Indicador  3.6.1;1736;5.3;1;Brasil;9734;2020;5;Mulheres;1147;35 a 39 anos;9734
Indicador  3.6.1;1736;5.5;1;Brasil;9734;2020;5;Mulheres;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;5.3;1;Brasil;9734;2020;5;Mulheres;1149;45 a 49 anos;9734
Indicador  3.6.1;1736;5.0;1;Brasil;9734;2020;5;Mulheres;1150;50 a 54 anos;9734
Indicador  3.6.1;1736;5.7;1;Brasil;9734;2020;5;Mulheres;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;5.9;1;Brasil;9734;2020;5;Mulheres;3302;60 anos ou mais;9734
Indicador  3.6.1;1736;15.9;1;Brasil;9734;2021;6794;Total;95253;Total;9734
Indicador  3.6.1;1736;2.1;1;Brasil;9734;2021;6794;Total;1140;0 a 4 anos;9734
Indicador  3.6.1;1736;1.7;1;Brasil;9734;2021;6794;Total;1141;5 a 9 anos;9734
Indicador  3.6.1;1736;2.4;1;Brasil;9734;2021;6794;Total;1142;10 a 14 anos;9734
Indicador  3.6.1;1736;13.2;1;Brasil;9734;2021;6794;Total;1143;15 a 19 anos;9734
Indicador  3.6.1;1736;23.5;1;Brasil;9734;2021;6794;Total;1144;20 a 24 anos;9734
Indicador  3.6.1;1736;21.1;1;Brasil;9734;2021;6794;Total;1145;25 a 29 anos;9734
Indicador  3.6.1;1736;19.6;1;Brasil;9734;2021;6794;Total;1146;30 a 34 anos;9734
Indicador  3.6.1;1736;19.9;1;Brasil;9734;2021;6794;Total;1147;35 a 39 anos;9734
Indicador  3.6.1;1736;20.2;1;Brasil;9734;2021;6794;Total;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;19.9;1;Brasil;9734;2021;6794;Total;1149;45 a 49 anos;9734
Indicador  3.6.1;1736;19.0;1;Brasil;9734;2021;6794;Total;1150;50 a 54 anos;9734
Indicador  3.6.1;1736;19.5;1;Brasil;9734;2021;6794;Total;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;18.1;1;Brasil;9734;2021;6794;Total;3302;60 anos ou mais;9734
Indicador  3.6.1;1736;27.0;1;Brasil;9734;2021;4;Homens;95253;Total;9734
Indicador  3.6.1;1736;2.2;1;Brasil;9734;2021;4;Homens;1140;0 a 4 anos;9734
Indicador  3.6.1;1736;1.9;1;Brasil;9734;2021;4;Homens;1141;5 a 9 anos;9734
Indicador  3.6.1;1736;3.0;1;Brasil;9734;2021;4;Homens;1142;10 a 14 anos;9734
Indicador  3.6.1;1736;21.2;1;Brasil;9734;2021;4;Homens;1143;15 a 19 anos;9734
Indicador  3.6.1;1736;40.3;1;Brasil;9734;2021;4;Homens;1144;20 a 24 anos;9734
Indicador  3.6.1;1736;36.0;1;Brasil;9734;2021;4;Homens;1145;25 a 29 anos;9734
Indicador  3.6.1;1736;33.3;1;Brasil;9734;2021;4;Homens;1146;30 a 34 anos;9734
Indicador  3.6.1;1736;34.5;1;Brasil;9734;2021;4;Homens;1147;35 a 39 anos;9734
Indicador  3.6.1;1736;35.3;1;Brasil;9734;2021;4;Homens;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;35.3;1;Brasil;9734;2021;4;Homens;1149;45 a 49 anos;9734
