ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.7.2;45;17579;1;Brasil;9433;2020;1142;10 a 14 anos;9433
Indicador  3.7.2;45;364074;1;Brasil;9433;2020;1143;15 a 19 anos;9433
Indicador  3.7.2;45;364734;1;Brasil;9433;2021;3518;10 a 19 anos;9433
Indicador  3.7.2;45;17456;1;Brasil;9433;2021;1142;10 a 14 anos;9433
Indicador  3.7.2;45;347278;1;Brasil;9433;2021;1143;15 a 19 anos;9433
Indicador  3.7.2;45;315606;1;Brasil;9433;2022;3518;10 a 19 anos;9433
Indicador  3.7.2;45;14293;1;Brasil;9433;2022;1142;10 a 14 anos;9433
Indicador  3.7.2;45;301313;1;Brasil;9433;2022;1143;15 a 19 anos;9433
Indicador  3.7.2;45;9551;11;Rondônia;9433;2000;3518;10 a 19 anos;9433
Indicador  3.7.2;45;374;11;Rondônia;9433;2000;1142;10 a 14 anos;9433
Indicador  3.7.2;45;9177;11;Rondônia;9433;2000;1143;15 a 19 anos;9433
Indicador  3.7.2;45;8269;11;Rondônia;9433;2001;3518;10 a 19 anos;9433
Indicador  3.7.2;45;330;11;Rondônia;9433;2001;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7939;11;Rondônia;9433;2001;1143;15 a 19 anos;9433
Indicador  3.7.2;45;8151;11;Rondônia;9433;2002;3518;10 a 19 anos;9433
Indicador  3.7.2;45;345;11;Rondônia;9433;2002;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7806;11;Rondônia;9433;2002;1143;15 a 19 anos;9433
Indicador  3.7.2;45;7848;11;Rondônia;9433;2003;3518;10 a 19 anos;9433
Indicador  3.7.2;45;327;11;Rondônia;9433;2003;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7521;11;Rondônia;9433;2003;1143;15 a 19 anos;9433
Indicador  3.7.2;45;7858;11;Rondônia;9433;2004;3518;10 a 19 anos;9433
Indicador  3.7.2;45;338;11;Rondônia;9433;2004;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7520;11;Rondônia;9433;2004;1143;15 a 19 anos;9433
Indicador  3.7.2;45;7480;11;Rondônia;9433;2005;3518;10 a 19 anos;9433
Indicador  3.7.2;45;336;11;Rondônia;9433;2005;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7144;11;Rondônia;9433;2005;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6487;11;Rondônia;9433;2006;3518;10 a 19 anos;9433
Indicador  3.7.2;45;287;11;Rondônia;9433;2006;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6200;11;Rondônia;9433;2006;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5802;11;Rondônia;9433;2007;3518;10 a 19 anos;9433
Indicador  3.7.2;45;276;11;Rondônia;9433;2007;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5526;11;Rondônia;9433;2007;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6566;11;Rondônia;9433;2008;3518;10 a 19 anos;9433
Indicador  3.7.2;45;326;11;Rondônia;9433;2008;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6240;11;Rondônia;9433;2008;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6301;11;Rondônia;9433;2009;3518;10 a 19 anos;9433
Indicador  3.7.2;45;275;11;Rondônia;9433;2009;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6026;11;Rondônia;9433;2009;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5993;11;Rondônia;9433;2010;3518;10 a 19 anos;9433
Indicador  3.7.2;45;266;11;Rondônia;9433;2010;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5727;11;Rondônia;9433;2010;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6345;11;Rondônia;9433;2011;3518;10 a 19 anos;9433
Indicador  3.7.2;45;293;11;Rondônia;9433;2011;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6052;11;Rondônia;9433;2011;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5936;11;Rondônia;9433;2012;3518;10 a 19 anos;9433
Indicador  3.7.2;45;273;11;Rondônia;9433;2012;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5663;11;Rondônia;9433;2012;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5914;11;Rondônia;9433;2013;3518;10 a 19 anos;9433
Indicador  3.7.2;45;240;11;Rondônia;9433;2013;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5674;11;Rondônia;9433;2013;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5824;11;Rondônia;9433;2014;3518;10 a 19 anos;9433
Indicador  3.7.2;45;289;11;Rondônia;9433;2014;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5535;11;Rondônia;9433;2014;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5637;11;Rondônia;9433;2015;3518;10 a 19 anos;9433
Indicador  3.7.2;45;226;11;Rondônia;9433;2015;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5411;11;Rondônia;9433;2015;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5335;11;Rondônia;9433;2016;3518;10 a 19 anos;9433
Indicador  3.7.2;45;249;11;Rondônia;9433;2016;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5086;11;Rondônia;9433;2016;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5051;11;Rondônia;9433;2017;3518;10 a 19 anos;9433
Indicador  3.7.2;45;234;11;Rondônia;9433;2017;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4817;11;Rondônia;9433;2017;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4915;11;Rondônia;9433;2018;3518;10 a 19 anos;9433
Indicador  3.7.2;45;224;11;Rondônia;9433;2018;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4691;11;Rondônia;9433;2018;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4558;11;Rondônia;9433;2019;3518;10 a 19 anos;9433
Indicador  3.7.2;45;198;11;Rondônia;9433;2019;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4360;11;Rondônia;9433;2019;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4077;11;Rondônia;9433;2020;3518;10 a 19 anos;9433
Indicador  3.7.2;45;157;11;Rondônia;9433;2020;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3920;11;Rondônia;9433;2020;1143;15 a 19 anos;9433
Indicador  3.7.2;45;3995;11;Rondônia;9433;2021;3518;10 a 19 anos;9433
Indicador  3.7.2;45;178;11;Rondônia;9433;2021;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3817;11;Rondônia;9433;2021;1143;15 a 19 anos;9433
Indicador  3.7.2;45;3538;11;Rondônia;9433;2022;3518;10 a 19 anos;9433
Indicador  3.7.2;45;130;11;Rondônia;9433;2022;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3408;11;Rondônia;9433;2022;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4784;12;Acre;9433;2000;3518;10 a 19 anos;9433
Indicador  3.7.2;45;250;12;Acre;9433;2000;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4534;12;Acre;9433;2000;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4544;12;Acre;9433;2001;3518;10 a 19 anos;9433
Indicador  3.7.2;45;229;12;Acre;9433;2001;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4315;12;Acre;9433;2001;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4769;12;Acre;9433;2002;3518;10 a 19 anos;9433
Indicador  3.7.2;45;227;12;Acre;9433;2002;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4542;12;Acre;9433;2002;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4663;12;Acre;9433;2003;3518;10 a 19 anos;9433
Indicador  3.7.2;45;238;12;Acre;9433;2003;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4425;12;Acre;9433;2003;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4773;12;Acre;9433;2004;3518;10 a 19 anos;9433
Indicador  3.7.2;45;254;12;Acre;9433;2004;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4519;12;Acre;9433;2004;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4761;12;Acre;9433;2005;3518;10 a 19 anos;9433
Indicador  3.7.2;45;243;12;Acre;9433;2005;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4518;12;Acre;9433;2005;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4517;12;Acre;9433;2006;3518;10 a 19 anos;9433
Indicador  3.7.2;45;274;12;Acre;9433;2006;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4243;12;Acre;9433;2006;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4358;12;Acre;9433;2007;3518;10 a 19 anos;9433
Indicador  3.7.2;45;270;12;Acre;9433;2007;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4088;12;Acre;9433;2007;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4850;12;Acre;9433;2008;3518;10 a 19 anos;9433
Indicador  3.7.2;45;268;12;Acre;9433;2008;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4582;12;Acre;9433;2008;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4524;12;Acre;9433;2009;3518;10 a 19 anos;9433
Indicador  3.7.2;45;279;12;Acre;9433;2009;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4245;12;Acre;9433;2009;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4422;12;Acre;9433;2010;3518;10 a 19 anos;9433
Indicador  3.7.2;45;283;12;Acre;9433;2010;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4139;12;Acre;9433;2010;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4760;12;Acre;9433;2011;3518;10 a 19 anos;9433
Indicador  3.7.2;45;356;12;Acre;9433;2011;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4404;12;Acre;9433;2011;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4460;12;Acre;9433;2012;3518;10 a 19 anos;9433
Indicador  3.7.2;45;318;12;Acre;9433;2012;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4142;12;Acre;9433;2012;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4650;12;Acre;9433;2013;3518;10 a 19 anos;9433
Indicador  3.7.2;45;274;12;Acre;9433;2013;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4376;12;Acre;9433;2013;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4664;12;Acre;9433;2014;3518;10 a 19 anos;9433
Indicador  3.7.2;45;298;12;Acre;9433;2014;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4366;12;Acre;9433;2014;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4579;12;Acre;9433;2015;3518;10 a 19 anos;9433
Indicador  3.7.2;45;305;12;Acre;9433;2015;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4274;12;Acre;9433;2015;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4118;12;Acre;9433;2016;3518;10 a 19 anos;9433
Indicador  3.7.2;45;305;12;Acre;9433;2016;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3813;12;Acre;9433;2016;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4147;12;Acre;9433;2017;3518;10 a 19 anos;9433
Indicador  3.7.2;45;280;12;Acre;9433;2017;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3867;12;Acre;9433;2017;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4129;12;Acre;9433;2018;3518;10 a 19 anos;9433
Indicador  3.7.2;45;297;12;Acre;9433;2018;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3832;12;Acre;9433;2018;1143;15 a 19 anos;9433
Indicador  3.7.2;45;3901;12;Acre;9433;2019;3518;10 a 19 anos;9433
Indicador  3.7.2;45;243;12;Acre;9433;2019;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3658;12;Acre;9433;2019;1143;15 a 19 anos;9433
Indicador  3.7.2;45;3499;12;Acre;9433;2020;3518;10 a 19 anos;9433
Indicador  3.7.2;45;206;12;Acre;9433;2020;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3293;12;Acre;9433;2020;1143;15 a 19 anos;9433
Indicador  3.7.2;45;3671;12;Acre;9433;2021;3518;10 a 19 anos;9433
Indicador  3.7.2;45;258;12;Acre;9433;2021;1142;10 a 14 anos;9433
Indicador  3.7.2;45;3413;12;Acre;9433;2021;1143;15 a 19 anos;9433
Indicador  3.7.2;45;3143;12;Acre;9433;2022;3518;10 a 19 anos;9433
Indicador  3.7.2;45;229;12;Acre;9433;2022;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2914;12;Acre;9433;2022;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19636;13;Amazonas;9433;2000;3518;10 a 19 anos;9433
Indicador  3.7.2;45;938;13;Amazonas;9433;2000;1142;10 a 14 anos;9433
Indicador  3.7.2;45;18698;13;Amazonas;9433;2000;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20055;13;Amazonas;9433;2001;3518;10 a 19 anos;9433
Indicador  3.7.2;45;942;13;Amazonas;9433;2001;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19113;13;Amazonas;9433;2001;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20135;13;Amazonas;9433;2002;3518;10 a 19 anos;9433
Indicador  3.7.2;45;925;13;Amazonas;9433;2002;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19210;13;Amazonas;9433;2002;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20115;13;Amazonas;9433;2003;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1019;13;Amazonas;9433;2003;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19096;13;Amazonas;9433;2003;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20152;13;Amazonas;9433;2004;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1038;13;Amazonas;9433;2004;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19114;13;Amazonas;9433;2004;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20120;13;Amazonas;9433;2005;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1012;13;Amazonas;9433;2005;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19108;13;Amazonas;9433;2005;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20462;13;Amazonas;9433;2006;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1104;13;Amazonas;9433;2006;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19358;13;Amazonas;9433;2006;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19702;13;Amazonas;9433;2007;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1226;13;Amazonas;9433;2007;1142;10 a 14 anos;9433
Indicador  3.7.2;45;18476;13;Amazonas;9433;2007;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19813;13;Amazonas;9433;2008;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1252;13;Amazonas;9433;2008;1142;10 a 14 anos;9433
Indicador  3.7.2;45;18561;13;Amazonas;9433;2008;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20213;13;Amazonas;9433;2009;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1292;13;Amazonas;9433;2009;1142;10 a 14 anos;9433
Indicador  3.7.2;45;18921;13;Amazonas;9433;2009;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19182;13;Amazonas;9433;2010;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1222;13;Amazonas;9433;2010;1142;10 a 14 anos;9433
Indicador  3.7.2;45;17960;13;Amazonas;9433;2010;1143;15 a 19 anos;9433
Indicador  3.7.2;45;20441;13;Amazonas;9433;2011;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1415;13;Amazonas;9433;2011;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19026;13;Amazonas;9433;2011;1143;15 a 19 anos;9433
Indicador  3.7.2;45;21022;13;Amazonas;9433;2012;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1433;13;Amazonas;9433;2012;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19589;13;Amazonas;9433;2012;1143;15 a 19 anos;9433
Indicador  3.7.2;45;21669;13;Amazonas;9433;2013;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1548;13;Amazonas;9433;2013;1142;10 a 14 anos;9433
Indicador  3.7.2;45;20121;13;Amazonas;9433;2013;1143;15 a 19 anos;9433
Indicador  3.7.2;45;21719;13;Amazonas;9433;2014;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1448;13;Amazonas;9433;2014;1142;10 a 14 anos;9433
Indicador  3.7.2;45;20271;13;Amazonas;9433;2014;1143;15 a 19 anos;9433
Indicador  3.7.2;45;21194;13;Amazonas;9433;2015;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1432;13;Amazonas;9433;2015;1142;10 a 14 anos;9433
Indicador  3.7.2;45;19762;13;Amazonas;9433;2015;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19436;13;Amazonas;9433;2016;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1302;13;Amazonas;9433;2016;1142;10 a 14 anos;9433
Indicador  3.7.2;45;18134;13;Amazonas;9433;2016;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19574;13;Amazonas;9433;2017;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1251;13;Amazonas;9433;2017;1142;10 a 14 anos;9433
Indicador  3.7.2;45;18323;13;Amazonas;9433;2017;1143;15 a 19 anos;9433
Indicador  3.7.2;45;19190;13;Amazonas;9433;2018;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1259;13;Amazonas;9433;2018;1142;10 a 14 anos;9433
Indicador  3.7.2;45;17931;13;Amazonas;9433;2018;1143;15 a 19 anos;9433
Indicador  3.7.2;45;18559;13;Amazonas;9433;2019;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1248;13;Amazonas;9433;2019;1142;10 a 14 anos;9433
Indicador  3.7.2;45;17311;13;Amazonas;9433;2019;1143;15 a 19 anos;9433
Indicador  3.7.2;45;17407;13;Amazonas;9433;2020;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1075;13;Amazonas;9433;2020;1142;10 a 14 anos;9433
Indicador  3.7.2;45;16332;13;Amazonas;9433;2020;1143;15 a 19 anos;9433
Indicador  3.7.2;45;17758;13;Amazonas;9433;2021;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1188;13;Amazonas;9433;2021;1142;10 a 14 anos;9433
Indicador  3.7.2;45;16570;13;Amazonas;9433;2021;1143;15 a 19 anos;9433
Indicador  3.7.2;45;15333;13;Amazonas;9433;2022;3518;10 a 19 anos;9433
Indicador  3.7.2;45;1017;13;Amazonas;9433;2022;1142;10 a 14 anos;9433
Indicador  3.7.2;45;14316;13;Amazonas;9433;2022;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2884;14;Roraima;9433;2000;3518;10 a 19 anos;9433
Indicador  3.7.2;45;207;14;Roraima;9433;2000;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2677;14;Roraima;9433;2000;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2801;14;Roraima;9433;2001;3518;10 a 19 anos;9433
Indicador  3.7.2;45;187;14;Roraima;9433;2001;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2614;14;Roraima;9433;2001;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2598;14;Roraima;9433;2002;3518;10 a 19 anos;9433
Indicador  3.7.2;45;162;14;Roraima;9433;2002;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2436;14;Roraima;9433;2002;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2863;14;Roraima;9433;2003;3518;10 a 19 anos;9433
Indicador  3.7.2;45;229;14;Roraima;9433;2003;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2634;14;Roraima;9433;2003;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2693;14;Roraima;9433;2004;3518;10 a 19 anos;9433
Indicador  3.7.2;45;194;14;Roraima;9433;2004;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2499;14;Roraima;9433;2004;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2527;14;Roraima;9433;2005;3518;10 a 19 anos;9433
Indicador  3.7.2;45;177;14;Roraima;9433;2005;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2350;14;Roraima;9433;2005;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2489;14;Roraima;9433;2006;3518;10 a 19 anos;9433
Indicador  3.7.2;45;183;14;Roraima;9433;2006;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2306;14;Roraima;9433;2006;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2537;14;Roraima;9433;2007;3518;10 a 19 anos;9433
Indicador  3.7.2;45;212;14;Roraima;9433;2007;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2325;14;Roraima;9433;2007;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2555;14;Roraima;9433;2008;3518;10 a 19 anos;9433
Indicador  3.7.2;45;209;14;Roraima;9433;2008;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2346;14;Roraima;9433;2008;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2448;14;Roraima;9433;2009;3518;10 a 19 anos;9433
Indicador  3.7.2;45;199;14;Roraima;9433;2009;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2249;14;Roraima;9433;2009;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2443;14;Roraima;9433;2010;3518;10 a 19 anos;9433
Indicador  3.7.2;45;190;14;Roraima;9433;2010;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2253;14;Roraima;9433;2010;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2487;14;Roraima;9433;2011;3518;10 a 19 anos;9433
Indicador  3.7.2;45;173;14;Roraima;9433;2011;1142;10 a 14 anos;9433
Indicador  3.7.2;45;2314;14;Roraima;9433;2011;1143;15 a 19 anos;9433
Indicador  3.7.2;45;2712;14;Roraima;9433;2012;3518;10 a 19 anos;9433
