ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_DEF;DESC_DEF
Indicador  8.3.1.3;2;31.4;43;Rio Grande do Sul;8883;2022;46583;Total
Indicador  8.3.1.3;2;47.9;43;Rio Grande do Sul;8883;2022;58765;Pessoa com deficiência
Indicador  8.3.1.3;2;30.6;43;Rio Grande do Sul;8883;2022;58766;Pessoa sem deficiência
Indicador  8.3.1.3;2;33.7;50;Mato Grosso do Sul;8883;2022;46583;Total
Indicador  8.3.1.3;2;50.7;50;Mato Grosso do Sul;8883;2022;58765;Pessoa com deficiência
Indicador  8.3.1.3;2;32.8;50;Mato Grosso do Sul;8883;2022;58766;Pessoa sem deficiência
Indicador  8.3.1.3;2;36.1;51;Mato Grosso;8883;2022;46583;Total
Indicador  8.3.1.3;2;48.3;51;Mato Grosso;8883;2022;58765;Pessoa com deficiência
Indicador  8.3.1.3;2;35.3;51;Mato Grosso;8883;2022;58766;Pessoa sem deficiência
Indicador  8.3.1.3;2;38.7;52;Goiás;8883;2022;46583;Total
Indicador  8.3.1.3;2;53.8;52;Goiás;8883;2022;58765;Pessoa com deficiência
Indicador  8.3.1.3;2;38.0;52;Goiás;8883;2022;58766;Pessoa sem deficiência
Indicador  8.3.1.3;2;29.8;53;Distrito Federal;8883;2022;46583;Total
Indicador  8.3.1.3;2;40.0;53;Distrito Federal;8883;2022;58765;Pessoa com deficiência
Indicador  8.3.1.3;2;29.2;53;Distrito Federal;8883;2022;58766;Pessoa sem deficiência
