ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  5.4.1;2;13.3;1;Brasil;9471;2019;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;13.6;1;Brasil;9471;2019;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;11.7;1;Brasil;9471;2019;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;8.8;1;Brasil;9471;2022;6794;Total;95253;Total
Indicador  5.4.1;2;7.0;1;Brasil;9471;2022;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;9.6;1;Brasil;9471;2022;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;9.8;1;Brasil;9471;2022;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;9.2;1;Brasil;9471;2022;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;5.6;1;Brasil;9471;2022;4;Homens;95253;Total
Indicador  5.4.1;2;4.5;1;Brasil;9471;2022;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;6.1;1;Brasil;9471;2022;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;6.1;1;Brasil;9471;2022;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;6.4;1;Brasil;9471;2022;4;Homens;3302;60 anos ou mais
Indicador  5.4.1;2;11.7;1;Brasil;9471;2022;5;Mulheres;95253;Total
Indicador  5.4.1;2;9.5;1;Brasil;9471;2022;5;Mulheres;41114;14 a 29 anos
Indicador  5.4.1;2;12.9;1;Brasil;9471;2022;5;Mulheres;41113;30 a 49 anos
Indicador  5.4.1;2;13.3;1;Brasil;9471;2022;5;Mulheres;3301;50 a 59 anos
Indicador  5.4.1;2;11.5;1;Brasil;9471;2022;5;Mulheres;3302;60 anos ou mais
Indicador  5.4.1;2;7.6;11;Rondônia;9471;2016;6794;Total;95253;Total
Indicador  5.4.1;2;7.0;11;Rondônia;9471;2016;6794;Total;41114;14 a 29 anos
Indicador  5.4.1;2;8.1;11;Rondônia;9471;2016;6794;Total;41113;30 a 49 anos
Indicador  5.4.1;2;8.0;11;Rondônia;9471;2016;6794;Total;3301;50 a 59 anos
Indicador  5.4.1;2;7.7;11;Rondônia;9471;2016;6794;Total;3302;60 anos ou mais
Indicador  5.4.1;2;4.5;11;Rondônia;9471;2016;4;Homens;95253;Total
Indicador  5.4.1;2;4.1;11;Rondônia;9471;2016;4;Homens;41114;14 a 29 anos
Indicador  5.4.1;2;4.6;11;Rondônia;9471;2016;4;Homens;41113;30 a 49 anos
Indicador  5.4.1;2;4.7;11;Rondônia;9471;2016;4;Homens;3301;50 a 59 anos
Indicador  5.4.1;2;5.4;11;Rondônia;9471;2016;4;Homens;3302;60 anos ou mais
