ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO
Indicador  8.3.1;2;39.0;1;Brasil;8883;2016;6794;Total
Indicador  8.3.1;2;40.3;1;Brasil;8883;2016;4;Homens
Indicador  8.3.1;2;37.3;1;Brasil;8883;2016;5;Mulheres
Indicador  8.3.1;2;40.5;1;Brasil;8883;2017;6794;Total
Indicador  8.3.1;2;41.7;1;Brasil;8883;2017;4;Homens
Indicador  8.3.1;2;38.8;1;Brasil;8883;2017;5;Mulheres
Indicador  8.3.1;2;40.8;1;Brasil;8883;2018;6794;Total
Indicador  8.3.1;2;41.8;1;Brasil;8883;2018;4;Homens
Indicador  8.3.1;2;39.4;1;Brasil;8883;2018;5;Mulheres
Indicador  8.3.1;2;40.8;1;Brasil;8883;2019;6794;Total
Indicador  8.3.1;2;41.9;1;Brasil;8883;2019;4;Homens
Indicador  8.3.1;2;39.3;1;Brasil;8883;2019;5;Mulheres
Indicador  8.3.1;2;37.6;1;Brasil;8883;2020;6794;Total
Indicador  8.3.1;2;39.0;1;Brasil;8883;2020;4;Homens
Indicador  8.3.1;2;35.6;1;Brasil;8883;2020;5;Mulheres
Indicador  8.3.1;2;39.4;1;Brasil;8883;2021;6794;Total
Indicador  8.3.1;2;40.9;1;Brasil;8883;2021;4;Homens
Indicador  8.3.1;2;37.3;1;Brasil;8883;2021;5;Mulheres
Indicador  8.3.1;2;39.4;1;Brasil;8883;2022;6794;Total
Indicador  8.3.1;2;40.5;1;Brasil;8883;2022;4;Homens
Indicador  8.3.1;2;37.9;1;Brasil;8883;2022;5;Mulheres
Indicador  8.3.1;2;39.1;1;Brasil;8883;2023;6794;Total
Indicador  8.3.1;2;40.1;1;Brasil;8883;2023;4;Homens
Indicador  8.3.1;2;37.7;1;Brasil;8883;2023;5;Mulheres
Indicador  8.3.1;2;38.9;1;Brasil;8883;2024;6794;Total
Indicador  8.3.1;2;40.3;1;Brasil;8883;2024;4;Homens
Indicador  8.3.1;2;37.0;1;Brasil;8883;2024;5;Mulheres
Indicador  8.3.1;2;49.8;11;Rondônia;8883;2016;6794;Total
