ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_GRUP_OCUP_TRAB_PNAD;DESC_GRUP_OCUP_TRAB_PNAD
Indicador  8.5.1.3;1769;12.2;1;Brasil;8828;2016;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;10.4;1;Brasil;8828;2016;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.4;1;Brasil;8828;2016;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.8;1;Brasil;8828;2016;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.3;1;Brasil;8828;2016;33378;Ocupações elementares
Indicador  8.5.1.3;1769;31.9;1;Brasil;8828;2016;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;17.3;1;Brasil;8828;2017;33356;Total
Indicador  8.5.1.3;1769;39.0;1;Brasil;8828;2017;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;41.5;1;Brasil;8828;2017;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;22.4;1;Brasil;8828;2017;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;14.4;1;Brasil;8828;2017;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.0;1;Brasil;8828;2017;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.0;1;Brasil;8828;2017;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.9;1;Brasil;8828;2017;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;13.2;1;Brasil;8828;2017;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.6;1;Brasil;8828;2017;33378;Ocupações elementares
Indicador  8.5.1.3;1769;33.6;1;Brasil;8828;2017;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;17.7;1;Brasil;8828;2018;33356;Total
Indicador  8.5.1.3;1769;41.5;1;Brasil;8828;2018;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;41.9;1;Brasil;8828;2018;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;23.1;1;Brasil;8828;2018;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;14.6;1;Brasil;8828;2018;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.1;1;Brasil;8828;2018;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.2;1;Brasil;8828;2018;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.5;1;Brasil;8828;2018;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
