ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_NIV_INSTR;DESC_NIV_INSTR;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.2;1572;-;13;Amazonas;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;13;Amazonas;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;61.070;13;Amazonas;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;13;Amazonas;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;13;Amazonas;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;80.060;14;Roraima;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;17.341;14;Roraima;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;10.816;14;Roraima;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;34.711;14;Roraima;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;17.192;14;Roraima;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;14;Roraima;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;1136.994;15;Pará;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;365.192;15;Pará;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;246.385;15;Pará;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;403.612;15;Pará;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;121.805;15;Pará;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;15;Pará;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;105.099;16;Amapá;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;30.391;16;Amapá;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;16.367;16;Amapá;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;40.249;16;Amapá;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;18.092;16;Amapá;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;16;Amapá;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;186.029;17;Tocantins;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;50.139;17;Tocantins;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;36.395;17;Tocantins;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;75.116;17;Tocantins;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;24.378;17;Tocantins;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;17;Tocantins;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;897.076;21;Maranhão;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;317.409;21;Maranhão;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;172.564;21;Maranhão;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;21;Maranhão;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;315.788;21;Maranhão;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
