ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.4.2;1736;6.6;1;Brasil;11704;2018;6794;Total;95253;Total;11704
Indicador  3.4.2;1736;0.0;1;Brasil;11704;2018;6794;Total;1141;5 a 9 anos;11704
Indicador  3.4.2;1736;1.1;1;Brasil;11704;2018;6794;Total;1142;10 a 14 anos;11704
Indicador  3.4.2;1736;5.4;1;Brasil;11704;2018;6794;Total;1143;15 a 19 anos;11704
Indicador  3.4.2;1736;7.5;1;Brasil;11704;2018;6794;Total;1144;20 a 24 anos;11704
Indicador  3.4.2;1736;7.2;1;Brasil;11704;2018;6794;Total;1145;25 a 29 anos;11704
Indicador  3.4.2;1736;7.7;1;Brasil;11704;2018;6794;Total;1146;30 a 34 anos;11704
Indicador  3.4.2;1736;7.8;1;Brasil;11704;2018;6794;Total;1147;35 a 39 anos;11704
Indicador  3.4.2;1736;8.1;1;Brasil;11704;2018;6794;Total;1148;40 a 44 anos;11704
Indicador  3.4.2;1736;8.3;1;Brasil;11704;2018;6794;Total;1149;45 a 49 anos;11704
Indicador  3.4.2;1736;8.7;1;Brasil;11704;2018;6794;Total;1150;50 a 54 anos;11704
Indicador  3.4.2;1736;7.8;1;Brasil;11704;2018;6794;Total;1151;55 a 59 anos;11704
Indicador  3.4.2;1736;8.1;1;Brasil;11704;2018;6794;Total;3302;60 anos ou mais;11704
Indicador  3.4.2;1736;10.6;1;Brasil;11704;2018;4;Homens;95253;Total;11704
Indicador  3.4.2;1736;0.0;1;Brasil;11704;2018;4;Homens;1141;5 a 9 anos;11704
Indicador  3.4.2;1736;1.1;1;Brasil;11704;2018;4;Homens;1142;10 a 14 anos;11704
Indicador  3.4.2;1736;7.3;1;Brasil;11704;2018;4;Homens;1143;15 a 19 anos;11704
Indicador  3.4.2;1736;11.9;1;Brasil;11704;2018;4;Homens;1144;20 a 24 anos;11704
Indicador  3.4.2;1736;11.8;1;Brasil;11704;2018;4;Homens;1145;25 a 29 anos;11704
Indicador  3.4.2;1736;12.8;1;Brasil;11704;2018;4;Homens;1146;30 a 34 anos;11704
