ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;SUB_INDICADOR
Indicador  3.2.1;1739;53.7;1;Brasil;9731;1990;9731
Indicador  3.2.1;1739;50.7;1;Brasil;9731;1991;9731
Indicador  3.2.1;1739;47.8;1;Brasil;9731;1992;9731
Indicador  3.2.1;1739;45.2;1;Brasil;9731;1993;9731
Indicador  3.2.1;1739;42.6;1;Brasil;9731;1994;9731
Indicador  3.2.1;1739;40.2;1;Brasil;9731;1995;9731
Indicador  3.2.1;1739;38.0;1;Brasil;9731;1996;9731
Indicador  3.2.1;1739;35.8;1;Brasil;9731;1997;9731
Indicador  3.2.1;1739;33.8;1;Brasil;9731;1998;9731
Indicador  3.2.1;1739;31.9;1;Brasil;9731;1999;9731
Indicador  3.2.1;1739;30.1;1;Brasil;9731;2000;9731
Indicador  3.2.1;1739;28.7;1;Brasil;9731;2001;9731
Indicador  3.2.1;1739;27.2;1;Brasil;9731;2002;9731
Indicador  3.2.1;1739;26.1;1;Brasil;9731;2003;9731
Indicador  3.2.1;1739;25.0;1;Brasil;9731;2004;9731
Indicador  3.2.1;1739;23.7;1;Brasil;9731;2005;9731
Indicador  3.2.1;1739;22.7;1;Brasil;9731;2006;9731
Indicador  3.2.1;1739;21.6;1;Brasil;9731;2007;9731
Indicador  3.2.1;1739;20.5;1;Brasil;9731;2008;9731
Indicador  3.2.1;1739;19.6;1;Brasil;9731;2009;9731
Indicador  3.2.1;1739;18.6;1;Brasil;9731;2010;9731
Indicador  3.2.1;1739;17.7;1;Brasil;9731;2011;9731
Indicador  3.2.1;1739;17.3;1;Brasil;9731;2012;9731
Indicador  3.2.1;1739;16.7;1;Brasil;9731;2013;9731
Indicador  3.2.1;1739;16.3;1;Brasil;9731;2014;9731
Indicador  3.2.1;1739;15.8;1;Brasil;9731;2015;9731
Indicador  3.2.1;1739;16.4;1;Brasil;9731;2016;9731
Indicador  3.2.1;1739;15.6;1;Brasil;9731;2017;9731
Indicador  3.2.1;1739;15.2;1;Brasil;9731;2018;9731
Indicador  3.2.1;1739;15.4;1;Brasil;9731;2019;9731
Indicador  3.2.1;1739;14.0;1;Brasil;9731;2020;9731
Indicador  3.2.1;1739;14.5;1;Brasil;9731;2021;9731
