ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;CODG_TIPO_DOENCA;DESC_TIPO_DOENCA
Indicador  3.3.5;45;1456;1;Brasil;12772;2018;6794;Total;1143;15 a 19 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1143;15 a 19 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;32783;1;Brasil;12772;2018;6794;Total;1143;15 a 19 anos;58715;Esquistossomose
Indicador  3.3.5;45;1916;1;Brasil;12772;2018;6794;Total;1143;15 a 19 anos;58721;Oncocercose
Indicador  3.3.5;45;34;1;Brasil;12772;2018;6794;Total;1143;15 a 19 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1143;15 a 19 anos;58716;Filariose linfática
Indicador  3.3.5;45;72054;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;120931;Total
Indicador  3.3.5;45;28617;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;120937;Dengue
Indicador  3.3.5;45;215;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1705;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;39;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;5222;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58719;Raiva
Indicador  3.3.5;45;1594;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;33367;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58715;Esquistossomose
Indicador  3.3.5;45;1241;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58721;Oncocercose
Indicador  3.3.5;45;54;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1144;20 a 24 anos;58716;Filariose linfática
Indicador  3.3.5;45;65993;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;120931;Total
Indicador  3.3.5;45;25623;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;120937;Dengue
Indicador  3.3.5;45;182;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1714;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;20;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;4854;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58719;Raiva
Indicador  3.3.5;45;1804;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;30789;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58715;Esquistossomose
Indicador  3.3.5;45;935;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58721;Oncocercose
Indicador  3.3.5;45;72;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1145;25 a 29 anos;58716;Filariose linfática
Indicador  3.3.5;45;64346;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;120931;Total
Indicador  3.3.5;45;24497;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;120937;Dengue
Indicador  3.3.5;45;193;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1726;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;37;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;4592;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58719;Raiva
Indicador  3.3.5;45;2462;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58720;Hanseníase
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58714;Geo-helmintíases
Indicador  3.3.5;45;29834;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58715;Esquistossomose
Indicador  3.3.5;45;904;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58721;Oncocercose
Indicador  3.3.5;45;101;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58684;Doença de chagas crônica
Indicador  3.3.5;45;-;1;Brasil;12772;2018;6794;Total;1146;30 a 34 anos;58716;Filariose linfática
Indicador  3.3.5;45;61612;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;120931;Total
Indicador  3.3.5;45;23154;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;120937;Dengue
Indicador  3.3.5;45;178;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58717;Leishmaniose Visceral
Indicador  3.3.5;45;1593;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58718;Leishmaniose Tegumentar
Indicador  3.3.5;45;29;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58713;Doença de chagas aguda
Indicador  3.3.5;45;4422;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58719;Raiva
Indicador  3.3.5;45;3188;1;Brasil;12772;2018;6794;Total;1147;35 a 39 anos;58720;Hanseníase
