ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_SIT_DOM;DESC_SIT_DOM
Indicador  5.4.1.3;2;4.6;11;Rondônia;9471;2018;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.0;11;Rondônia;9471;2018;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;10.4;11;Rondônia;9471;2018;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;13.2;11;Rondônia;9471;2018;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.6;11;Rondônia;9471;2019;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.7;11;Rondônia;9471;2019;6794;Total;1;Urbana
Indicador  5.4.1.3;2;8.5;11;Rondônia;9471;2019;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.5;11;Rondônia;9471;2019;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.8;11;Rondônia;9471;2019;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.6;11;Rondônia;9471;2019;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.7;11;Rondônia;9471;2019;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;11.4;11;Rondônia;9471;2019;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;12.8;11;Rondônia;9471;2019;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.4;11;Rondônia;9471;2022;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.2;11;Rondônia;9471;2022;6794;Total;1;Urbana
Indicador  5.4.1.3;2;8.9;11;Rondônia;9471;2022;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.6;11;Rondônia;9471;2022;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.7;11;Rondônia;9471;2022;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.6;11;Rondônia;9471;2022;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.1;11;Rondônia;9471;2022;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;10.7;11;Rondônia;9471;2022;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;12.8;11;Rondônia;9471;2022;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.5;12;Acre;9471;2016;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.6;12;Acre;9471;2016;6794;Total;1;Urbana
Indicador  5.4.1.3;2;6.4;12;Acre;9471;2016;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.1;12;Acre;9471;2016;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.3;12;Acre;9471;2016;4;Homens;1;Urbana
Indicador  5.4.1.3;2;3.6;12;Acre;9471;2016;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.9;12;Acre;9471;2016;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.7;12;Acre;9471;2016;5;Mulheres;1;Urbana
