ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ETAPA_ENS;DESC_ETAPA_ENS
Indicador  4.c.1;1726;77.0;11;Rondônia;9610;2021;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;83.5;11;Rondônia;9610;2021;41125;Ensino médio
Indicador  4.c.1;1726;90.4;11;Rondônia;9610;2022;41122;Educação infantil
Indicador  4.c.1;1726;97.4;11;Rondônia;9610;2022;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;77.4;11;Rondônia;9610;2022;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;85.8;11;Rondônia;9610;2022;41125;Ensino médio
Indicador  4.c.1;1726;82.6;12;Acre;9610;2007;41122;Educação infantil
Indicador  4.c.1;1726;90.8;12;Acre;9610;2007;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;38.0;12;Acre;9610;2007;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;81.3;12;Acre;9610;2007;41125;Ensino médio
Indicador  4.c.1;1726;85.2;12;Acre;9610;2008;41122;Educação infantil
Indicador  4.c.1;1726;91.7;12;Acre;9610;2008;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;38.8;12;Acre;9610;2008;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;84.6;12;Acre;9610;2008;41125;Ensino médio
Indicador  4.c.1;1726;79.9;12;Acre;9610;2009;41122;Educação infantil
Indicador  4.c.1;1726;90.4;12;Acre;9610;2009;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;36.4;12;Acre;9610;2009;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.6;12;Acre;9610;2009;41125;Ensino médio
Indicador  4.c.1;1726;71.3;12;Acre;9610;2010;41122;Educação infantil
Indicador  4.c.1;1726;90.0;12;Acre;9610;2010;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;35.5;12;Acre;9610;2010;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;73.6;12;Acre;9610;2010;41125;Ensino médio
Indicador  4.c.1;1726;61.4;12;Acre;9610;2011;41122;Educação infantil
Indicador  4.c.1;1726;87.8;12;Acre;9610;2011;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;43.2;12;Acre;9610;2011;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.6;12;Acre;9610;2011;41125;Ensino médio
Indicador  4.c.1;1726;56.6;12;Acre;9610;2012;41122;Educação infantil
Indicador  4.c.1;1726;88.7;12;Acre;9610;2012;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;45.8;12;Acre;9610;2012;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;80.4;12;Acre;9610;2012;41125;Ensino médio
Indicador  4.c.1;1726;54.8;12;Acre;9610;2013;41122;Educação infantil
Indicador  4.c.1;1726;88.9;12;Acre;9610;2013;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;47.0;12;Acre;9610;2013;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;80.2;12;Acre;9610;2013;41125;Ensino médio
Indicador  4.c.1;1726;54.1;12;Acre;9610;2014;41122;Educação infantil
Indicador  4.c.1;1726;86.0;12;Acre;9610;2014;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;46.5;12;Acre;9610;2014;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;80.3;12;Acre;9610;2014;41125;Ensino médio
Indicador  4.c.1;1726;54.5;12;Acre;9610;2015;41122;Educação infantil
Indicador  4.c.1;1726;85.8;12;Acre;9610;2015;41123;Ensino fundamental - anos iniciais
