ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.1;1572;-;13;Amazonas;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;13;Amazonas;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;80.060;14;Roraima;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;33.150;14;Roraima;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;19.845;14;Roraima;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;23.349;14;Roraima;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;3.716;14;Roraima;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;14;Roraima;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;1136.994;15;Pará;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;416.197;15;Pará;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;312.629;15;Pará;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;312.719;15;Pará;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;95.449;15;Pará;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;15;Pará;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;105.099;16;Amapá;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;48.448;16;Amapá;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;20.722;16;Amapá;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;27.340;16;Amapá;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;8.588;16;Amapá;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;16;Amapá;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;186.029;17;Tocantins;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;17;Tocantins;11392;2019;95253;Total;1;Urbana;11392
